コード, 市町村FLG, 名前, ふりがな, URL
010006, 1, 北海道, ﾎｯｶｲﾄﾞｳ, https://www.pref.hokkaido.lg.jp/
011002, 2, 札幌市, ﾊｺﾀﾞﾃｼ, https://www.city.sapporo.jp/
012025, 2, 函館市, ｵﾀﾙｼ, https://www.city.hakodate.hokkaido.jp/
012033, 2, 小樽市, ｱｻﾋｶﾜｼ, https://www.city.otaru.lg.jp/
012041, 2, 旭川市, ﾑﾛﾗﾝｼ, https://www.city.asahikawa.hokkaido.jp/
012050, 2, 室蘭市, ｸｼﾛｼ, https://www.city.muroran.lg.jp/
012068, 2, 釧路市, ｵﾋﾞﾋﾛｼ, https://www.city.kushiro.lg.jp/
012076, 2, 帯広市, ｷﾀﾐｼ, https://www.city.obihiro.hokkaido.jp/
012084, 2, 北見市, ﾕｳﾊﾞﾘｼ, https://www.city.kitami.lg.jp/
012092, 2, 夕張市, ｲﾜﾐｻﾞﾜｼ, https://www.city.yubari.lg.jp/
012106, 2, 岩見沢市, ｱﾊﾞｼﾘｼ, https://www.city.iwamizawa.hokkaido.jp/
012114, 2, 網走市, ﾙﾓｲｼ, https://www.city.abashiri.hokkaido.jp/
012122, 2, 留萌市, ﾄﾏｺﾏｲｼ, https://www.e-rumoi.jp/
012131, 2, 苫小牧市, ﾜｯｶﾅｲｼ, https://www.city.tomakomai.hokkaido.jp/
012149, 2, 稚内市, ﾋﾞﾊﾞｲｼ, https://www.city.wakkanai.hokkaido.jp/
012157, 2, 美唄市, ｱｼﾍﾞﾂｼ, https://www.city.bibai.hokkaido.jp/
012165, 2, 芦別市, ｴﾍﾞﾂｼ, https://www.city.ashibetsu.hokkaido.jp/
012173, 2, 江別市, ｱｶﾋﾞﾗｼ, https://www.city.ebetsu.hokkaido.jp/
012181, 2, 赤平市, ﾓﾝﾍﾞﾂｼ, https://www.city.akabira.hokkaido.jp/
012190, 2, 紋別市, ｼﾍﾞﾂｼ, https://mombetsu.jp/
012203, 2, 士別市, ﾅﾖﾛｼ, https://www.city.shibetsu.lg.jp/
012211, 2, 名寄市, ﾐｶｻｼ, http://www.city.nayoro.lg.jp/
012220, 2, 三笠市, ﾈﾑﾛｼ, https://www.city.mikasa.hokkaido.jp/
012238, 2, 根室市, ﾁﾄｾｼ, https://www.city.nemuro.hokkaido.jp/
012246, 2, 千歳市, ﾀｷｶﾜｼ, https://www.city.chitose.lg.jp/
012254, 2, 滝川市, ｽﾅｶﾞﾜｼ, https://www.city.takikawa.hokkaido.jp/
012262, 2, 砂川市, ｳﾀｼﾅｲｼ, https://www.city.sunagawa.hokkaido.jp/
012271, 2, 歌志内市, ﾌｶｶﾞﾜｼ, https://www.city.utashinai.hokkaido.jp/
012289, 2, 深川市, ﾌﾗﾉｼ, https://www.city.fukagawa.lg.jp/
012297, 2, 富良野市, ﾉﾎﾞﾘﾍﾞﾂｼ, http://www.city.furano.hokkaido.jp/
012301, 2, 登別市, ｴﾆﾜｼ, https://www.city.noboribetsu.lg.jp/
