No., 都道府県, Flag, 公式HP（URL)
1, 北海道, 1, https://www.pref.hokkaido.lg.jp/" 
2, 札幌市, 2, https://www.city.sapporo.jp/"
3, 函館市, 2, https://www.city.hakodate.hokkaido.jp/"
4, 小樽市, 2, https://www.city.otaru.lg.jp/"
5, 旭川市, 2, https://www.city.asahikawa.hokkaido.jp/"
6, 室蘭市, 2, https://www.city.muroran.lg.jp/"
7, 釧路市, 2, https://www.city.kushiro.lg.jp/"
8, 帯広市, 2, https://www.city.obihiro.hokkaido.jp/"
9, 北見市, 2, https://www.city.kitami.lg.jp/"
10, 夕張市, 2, https://www.city.yubari.lg.jp/"
11, 岩見沢市, 2, https://www.city.iwamizawa.hokkaido.jp/"
12, 網走市, 2, https://www.city.abashiri.hokkaido.jp/"
13, 留萌市, 2, https://www.e-rumoi.jp/"
14, 苫小牧市, 2, https://www.city.tomakomai.hokkaido.jp/"
15, 稚内市, 2, https://www.city.wakkanai.hokkaido.jp/"
16, 美唄市, 2, https://www.city.bibai.hokkaido.jp/"
17, 芦別市, 2, https://www.city.ashibetsu.hokkaido.jp/"
18, 江別市, 2, https://www.city.ebetsu.hokkaido.jp/"
19, 赤平市, 2, https://www.city.akabira.hokkaido.jp/"
20, 紋別市, 2, https://mombetsu.jp/"
21, 士別市, 2, https://www.city.shibetsu.lg.jp/"
22, 名寄市, 2, http://www.city.nayoro.lg.jp/"
23, 三笠市, 2, https://www.city.mikasa.hokkaido.jp/"
24, 根室市, 2, https://www.city.nemuro.hokkaido.jp/"
25, 千歳市, 2, https://www.city.chitose.lg.jp/"
26, 滝川市, 2, https://www.city.takikawa.hokkaido.jp/"
27, 砂川市, 2, https://www.city.sunagawa.hokkaido.jp/"
28, 歌志内市, 2, https://www.city.utashinai.hokkaido.jp/"
29, 深川市, 2, https://www.city.fukagawa.lg.jp/"
30, 富良野市, 2, http://www.city.furano.hokkaido.jp/"
31, 登別市, 2, https://www.city.noboribetsu.lg.jp/"
32, 恵庭市, 2, https://www.city.eniwa.hokkaido.jp/"
33, 伊達市, 2, https://www.city.date.hokkaido.jp/"
34, 北広島市, 2, https://www.city.kitahiroshima.hokkaido.jp/"
35, 石狩市, 2, https://www.city.ishikari.hokkaido.jp/"
36, 北斗市, 2, https://www.city.hokuto.hokkaido.jp/"
37, 3, 当別町, https://www.town.tobetsu.hokkaido.jp/"
38, 4, 新篠津村, https://www.vill.shinshinotsu.hokkaido.jp/"
39, 3, 松前町, http://www.town.matsumae.hokkaido.jp/"
40, 3, 福島町, http://www.town.fukushima.hokkaido.jp/"
41, 3, 知内町, http://www.town.shiriuchi.hokkaido.jp/"
42, 3, 木古内町, http://www.town.kikonai.hokkaido.jp/"
43, 3, 七飯町, https://www.town.nanae.hokkaido.jp/"
44, 3, 鹿部町, http://www.town.shikabe.lg.jp/"
45, 3, 森町, https://www.town.hokkaido-mori.lg.jp/"
46, 3, 八雲町, https://www.town.yakumo.lg.jp/"
47, 3, 長万部町, https://www.town.oshamambe.lg.jp/"
48, 3, 江差町, https://www.hokkaido-esashi.jp/"
49, 3, 上ノ国町, http://www.town.kaminokuni.lg.jp/"
50, 3, 厚沢部町, https://www.town.assabu.lg.jp/"
51, 3, 乙部町, https://www.town.otobe.lg.jp/"
52, 3, 奥尻町, https://www.town.okushiri.lg.jp/"
53, 3, 今金町, https://www.town.imakane.lg.jp/"
54, 3, せたな町, https://www.town.setana.lg.jp/"
55, 4, 島牧村, https://www.vill.shimamaki.lg.jp/"
56, 3, 寿都町, http://www.town.suttu.lg.jp/"
57, 3, 黒松内町, http://www.kuromatsunai.com/"
58, 3, 蘭越町, https://www.town.rankoshi.hokkaido.jp/"
59, 3, ニセコ町, https://www.town.niseko.lg.jp/"
60, 4, 真狩村, https://www.vill.makkari.lg.jp/"
61, 4, 留寿都村, http://www.vill.rusutsu.lg.jp/"
62, 3, 喜茂別町, http://www.town.kimobetsu.hokkaido.jp/"
63, 3, 京極町, http://www.town-kyogoku.jp/"
64, 3, 倶知安町, https://www.town.kutchan.hokkaido.jp/"
65, 3, 共和町, https://www.town.kyowa.hokkaido.jp/"
66, 3, 岩内町, https://www.town.iwanai.hokkaido.jp/"
67, 4, 泊村, http://www.vill.tomari.hokkaido.jp/"
68, 4, 神恵内村, https://www.vill.kamoenai.hokkaido.jp/"
69, 3, 積丹町, https://www.town.shakotan.lg.jp/"
70, 3, 古平町, http://www.town.furubira.lg.jp/"
71, 3, 仁木町, http://www.town.niki.hokkaido.jp/"
72, 3, 余市町, https://www.town.yoichi.hokkaido.jp/"
73, 4, 赤井川村, https://www.akaigawa.com/"
74, 3, 南幌町, https://www.town.nanporo.hokkaido.jp/"
75, 3, 奈井江町, http://www.town.naie.hokkaido.jp/"
76, 3, 上砂川町, https://town.kamisunagawa.hokkaido.jp/"
77, 3, 由仁町, http://www.town.yuni.lg.jp/"
78, 3, 長沼町, https://www.maoi-net.jp/"
79, 3, 栗山町, https://www.town.kuriyama.hokkaido.jp/"
80, 3, 月形町, http://www.town.tsukigata.hokkaido.jp/"
81, 3, 浦臼町, https://www.town.urausu.hokkaido.jp/"
82, 3, 新十津川町, http://www.town.shintotsukawa.lg.jp/"
83, 3, 妹背牛町, https://www.town.moseushi.hokkaido.jp/"
84, 3, 秩父別町, https://www.town.chippubetsu.hokkaido.jp/"
85, 3, 雨竜町, https://www.town.uryu.hokkaido.jp/"
86, 3, 北竜町, http://www.town.hokuryu.hokkaido.jp/"
87, 3, 沼田町, https://www.town.numata.hokkaido.jp/"
88, 3, 鷹栖町, https://www.town.takasu.hokkaido.jp/"
89, 3, 東神楽町, https://www.town.higashikagura.lg.jp/"
90, 3, 当麻町, http://www.town.tohma.hokkaido.jp/"
91, 3, 比布町, http://www.town.pippu.hokkaido.jp/"
92, 3, 愛別町, http://www.town.aibetsu.hokkaido.jp/"
93, 3, 上川町, https://www.town.hokkaido-kamikawa.lg.jp/"
94, 3, 東川町, https://www.town.higashikawa.hokkaido.jp/"
95, 3, 美瑛町, https://www.town.biei.hokkaido.jp/"
96, 3, 上富良野町, https://www.town.kamifurano.hokkaido.jp/"
97, 3, 中富良野町, http://www.town.nakafurano.lg.jp/"
98, 3, 南富良野町, https://www.town.minamifurano.hokkaido.jp/"
99, 4, 占冠村, https://www.vill.shimukappu.lg.jp/"
100, 3, 和寒町, https://www.town.wassamu.hokkaido.jp/"
101, 3, 剣淵町, https://www.town.kembuchi.hokkaido.jp/"
102, 3, 下川町, https://www.town.shimokawa.hokkaido.jp/"
103, 3, 美深町, http://www.town.bifuka.hokkaido.jp/"
104, 4, 音威子府村, http://www.vill.otoineppu.hokkaido.jp/"
105, 3, 中川町, http://www.town.nakagawa.hokkaido.jp/"
106, 3, 幌加内町, https://www.town.horokanai.hokkaido.jp/"
107, 3, 増毛町, https://www.town.mashike.hokkaido.jp/"
108, 3, 小平町, http://www.town.obira.hokkaido.jp/"
109, 3, 苫前町, http://www.town.tomamae.lg.jp/"
110, 3, 羽幌町, https://www.town.haboro.lg.jp/"
111, 4, 初山別村, http://www.vill.shosanbetsu.lg.jp/"
112, 3, 遠別町, http://www.town.embetsu.hokkaido.jp/"
113, 3, 天塩町, http://www.teshiotown.hokkaido.jp/"
114, 4, 猿払村, https://www.vill.sarufutsu.hokkaido.jp/"
115, 3, 浜頓別町, http://www.town.hamatonbetsu.hokkaido.jp/"
116, 3, 中頓別町, https://www.town.nakatombetsu.hokkaido.jp/"
117, 3, 枝幸町, https://www.esashi.jp/"
118, 3, 豊富町, https://www.town.toyotomi.hokkaido.jp/"
119, 3, 礼文町, http://www.town.rebun.hokkaido.jp/"
120, 3, 利尻町, http://www.town.rishiri.hokkaido.jp/"
121, 3, 利尻富士町, https://www.town.rishirifuji.hokkaido.jp/rishirifuji/"
122, 3, 幌延町, https://www.town.horonobe.lg.jp/"
123, 3, 美幌町, http://www.town.bihoro.hokkaido.jp/"
124, 3, 津別町, https://www.town.tsubetsu.hokkaido.jp/"
125, 3, 斜里町, https://www.town.shari.hokkaido.jp/"
126, 3, 清里町, https://www.town.kiyosato.hokkaido.jp/"
127, 3, 小清水町, https://www.town.koshimizu.hokkaido.jp/"
128, 3, 訓子府町, https://www.town.kunneppu.hokkaido.jp/"
129, 3, 置戸町, http://www.town.oketo.hokkaido.jp/"
130, 3, 佐呂間町, https://www.town.saroma.hokkaido.jp/"
131, 3, 遠軽町, https://engaru.jp/"
132, 3, 湧別町, https://www.town.yubetsu.lg.jp/"
133, 3, 滝上町, http://www.town.takinoue.hokkaido.jp/"
134, 3, 興部町, https://www.town.okoppe.lg.jp/"
135, 4, 西興部村, https://www.vill.nishiokoppe.lg.jp/"
136, 3, 雄武町, http://www.town.oumu.hokkaido.jp/"
137, 3, 大空町, http://www.town.ozora.hokkaido.jp/"
138, 3, 豊浦町, http://www.town.toyoura.hokkaido.jp/"
139, 3, 壮瞥町, https://www.town.sobetsu.lg.jp/"
140, 3, 白老町, http://www.town.shiraoi.hokkaido.jp/"
141, 3, 厚真町, http://www.town.atsuma.lg.jp/"
142, 3, 洞爺湖町, http://www.town.toyako.hokkaido.jp/"
143, 3, 安平町, https://www.town.abira.lg.jp/"
144, 3, むかわ町, http://www.town.mukawa.lg.jp/"
145, 3, 日高町, http://www.town.hidaka.hokkaido.jp/"
146, 3, 平取町, http://www.town.biratori.hokkaido.jp/"
147, 3, 新冠町, https://www.niikappu.jp/"
148, 3, 浦河町, https://www.town.urakawa.hokkaido.jp/"
149, 3, 様似町, http://www.samani.jp/"
150, 3, えりも町, https://www.town.erimo.lg.jp/"
151, 3, 新ひだか町, http://www.shinhidaka-hokkaido.jp/"
152, 3, 音更町, https://www.town.otofuke.hokkaido.jp/"
153, 3, 士幌町, https://www.shihoro.jp/"
154, 3, 上士幌町, https://www.kamishihoro.jp/"
155, 3, 鹿追町, https://www.town.shikaoi.lg.jp/"
156, 3, 新得町, https://www.shintoku-town.jp/"
157, 3, 清水町, http://www.town.shimizu.hokkaido.jp/"
158, 3, 芽室町, https://www.memuro.net/"
159, 4, 中札内村, https://www.vill.nakasatsunai.hokkaido.jp/"
160, 4, 更別村, http://www.sarabetsu.jp/"
161, 3, 大樹町, https://www.town.taiki.hokkaido.jp/"
162, 3, 広尾町, https://www.town.hiroo.lg.jp/"
163, 3, 幕別町, https://www.town.makubetsu.lg.jp/"
164, 3, 池田町, https://www.town.hokkaido-ikeda.lg.jp/"
165, 3, 豊頃町, http://www.toyokoro.jp/"
166, 3, 本別町, https://www.town.honbetsu.hokkaido.jp/"
167, 3, 足寄町, https://www.town.ashoro.hokkaido.jp/"
168, 3, 陸別町, https://www.rikubetsu.jp/"
169, 3, 浦幌町, https://www.urahoro.jp/"
170, 3, 釧路町, http://www.town.kushiro.lg.jp/"
171, 3, 厚岸町, https://www.akkeshi-town.jp/"
172, 3, 浜中町, https://www.townhamanaka.jp/"
173, 3, 標茶町, https://town.shibecha.hokkaido.jp/"
174, 3, 弟子屈町, https://www.town.teshikaga.hokkaido.jp/"
175, 4, 鶴居村, https://www.vill.tsurui.lg.jp/"
176, 3, 白糠町, https://www.town.shiranuka.lg.jp/"
177, 3, 別海町, https://betsukai.jp/"
178, 3, 中標津町, http://www.nakashibetsu.jp/"
179, 3, 標津町, https://www.shibetsutown.jp/"
180, 3, 羅臼町, https://www.rausu-town.jp/"
181, 1, 青森県, https://www.pref.aomori.lg.jp/"
182, 青森市, https://www.city.aomori.aomori.jp/"
183, 弘前市, http://www.city.hirosaki.aomori.jp/"
184, 八戸市, https://www.city.hachinohe.aomori.jp/"
185, 黒石市, http://www.city.kuroishi.aomori.jp/"
186, 五所川原市, http://www.city.goshogawara.lg.jp/"
187, 十和田市, https://www.city.towada.lg.jp/"
188, 三沢市, https://www.city.misawa.lg.jp/"
189, むつ市, https://www.city.mutsu.lg.jp/"
190, つがる市, https://www.city.tsugaru.aomori.jp/"
